,dataset,fold,ta_name,metric_error,metric_error_val,time_train_s,time_infer_s,method_subtype,n_samples_train_per_fold,n_features
28,credit-g,2,PrepTabM,0.2126180257510729,0.1808672376873661,4314.90761423111,4.2754106521606445,tuned,667,20
29,credit-g,2,PrepTabM,0.2132188841201716,0.1708458244111349,4314.90761423111,43.01810002326965,tuned_ensemble,667,20
30,credit-g,1,PrepTabM,0.2036909871244634,0.232408993576017,63.57332992553711,3.621662378311157,default,667,20
31,credit-g,1,PrepTabM,0.2048927038626609,0.2202997858672376,4225.6128885746,3.5321834087371826,tuned,667,20
32,credit-g,1,PrepTabM,0.1999999999999999,0.2106638115631691,4225.6128885746,41.40968036651611,tuned_ensemble,667,20
33,credit-g,0,PrepTabM,0.1966239316239316,0.2031545064377681,50.930930376052856,4.25084924697876,default,667,20
34,credit-g,0,PrepTabM,0.1874358974358974,0.193969957081545,3865.8311655521393,5.823620557785034,tuned,667,20
35,credit-g,0,PrepTabM,0.187051282051282,0.1882296137339055,3865.8311655521393,49.83933854103088,tuned_ensemble,667,20
36,splice,2,PrepTabM,0.1074411415219614,0.1076353697242439,140.89251947402954,3.8465540409088135,default,2127,60
37,splice,2,PrepTabM,0.1080092266201973,0.097516231238842,13339.51758170128,9.340196371078491,tuned,2127,60
38,splice,2,PrepTabM,0.1062781661748886,0.0926321223378181,13339.51758170128,58.1497266292572,tuned_ensemble,2127,60
39,splice,1,PrepTabM,0.1213816710274136,0.1210548452551563,119.33978128433228,3.794466257095337,default,2127,60
40,splice,1,PrepTabM,0.1216460242867469,0.1043988838791847,12583.83393740654,2.5562524795532227,tuned,2127,60
41,splice,1,PrepTabM,0.1118652522563934,0.0962570458650589,12583.83393740654,58.27215814590454,tuned_ensemble,2127,60
42,splice,0,PrepTabM,0.0932872109214698,0.1290033274416592,89.1772940158844,3.8294060230255127,default,2127,60
43,splice,0,PrepTabM,0.0883683115243911,0.1199689656496048,11849.60723900795,9.060675382614136,tuned,2127,60
44,splice,0,PrepTabM,0.0856726244091987,0.1099492311477661,11849.60723900795,59.99746322631836,tuned_ensemble,2127,60
45,anneal,2,PrepTabM,0.0243701402924292,0.0631620882332694,86.28065323829651,3.753196954727173,default,599,38
46,anneal,2,PrepTabM,0.0166522972285747,0.0262931957840919,15902.735315322876,6.589178323745728,tuned,599,38
47,anneal,2,PrepTabM,0.0154264234006404,0.0258696936070919,15902.735315322876,13.857966899871826,tuned_ensemble,599,38
48,anneal,1,PrepTabM,0.0165236507739709,0.0427072293488411,111.55558061599731,3.930692434310913,default,599,38
49,anneal,1,PrepTabM,0.0156879127025604,0.025370143353939,15228.588895082474,4.846317291259766,tuned,599,38
50,anneal,1,PrepTabM,0.0149244861677289,0.0253221839666366,15228.588895082474,12.149023056030272,tuned_ensemble,599,38
51,anneal,0,PrepTabM,0.0314555481594992,0.0386221578832448,137.1965880393982,4.386934280395508,default,599,38
52,anneal,0,PrepTabM,0.0209187772125005,0.0168115496635437,18441.06222319603,5.907305955886841,tuned,599,38
